length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
188	10437533	777053	792490	858211	642826	260103	475544	570354	939170	773008	1018103	861307	11702892	726650	11545633	856790	862440	962463	708300	712761	1914240	1101002	1017345	878352	1134169	951592	12462248	1813368
189	9858093	716983	737307	794855	586670	242438	441934	531874	879243	717123	945929	799847	11693941	665169	10912837	790043	802453	891055	646101	663998	1785390	1030904	952628	815950	1052976	883727	12457069	1667578
190	9179229	649221	680445	722275	526132	225535	408750	492921	809831	658674	866497	731355	11548286	607937	10161025	715932	740720	809952	579137	617905	1653337	958427	876520	749395	964377	807173	12306548	1526211
191	8482740	585369	622966	651808	470440	208379	377109	455379	740145	600209	783071	661180	11248663	555208	9394896	644809	677688	730679	518472	571570	1527676	884405	801594	683151	873103	731352	11989688	1395730
192	7831320	527762	567708	590117	420965	192194	348068	421948	674852	546747	711442	598186	10804002	509980	8675670	581734	617903	661904	464492	529617	1410082	820391	731265	622817	793084	661010	11518553	1285039
193	7261300	482403	520893	536519	380259	178444	324683	390549	621353	502002	652074	545627	10297487	471418	8042708	531488	567353	601937	418829	492012	1312255	761931	673071	571302	727797	603358	10985614	1188240
194	6788748	442370	482140	491270	349106	166679	300746	364642	576864	466199	604755	503485	9839408	440598	7520154	487201	525144	551459	384968	458571	1225017	711243	625563	530812	674369	556780	10497195	1109204
195	6424573	412584	450200	456340	326246	156940	282794	341909	546552	438433	566075	472989	9460230	413904	7115995	454520	489920	511293	359330	431849	1147442	668063	592004	498714	631079	523372	10092386	1041095
196	6130208	388770	422688	427288	308007	147322	266818	321742	522602	415042	536004	448158	9162113	389663	6787715	428713	460315	479413	339287	406605	1084037	628460	566248	473110	597619	496468	9778447	983104
197	5880933	368837	401495	404690	293361	139755	252458	304362	504579	396391	512125	430466	8956605	365966	6513649	406151	436832	453443	323234	385657	1028103	595622	546770	451093	570572	476520	9560795	923729
198	5628970	348735	381508	382358	279917	132500	239027	289215	483479	377625	488848	413099	8797125	342683	6238083	384463	414751	428387	308085	365508	975747	568094	524448	430065	544621	456932	9391533	867588
199	5362561	327844	361745	358609	264013	126074	224696	273173	462000	359259	461754	393446	8608330	318283	5946241	361027	392981	401948	290688	348183	923749	537910	501000	408906	514889	435191	9191119	808102
200	5067815	305480	339712	336652	248249	118243	213069	257408	437749	334371	431118	372153	8334132	294457	5616715	336412	369642	377393	273336	328941	871433	507094	474895	380177	481206	411736	8904612	749754
201	4733837	281923	316892	310099	230130	112792	198665	241774	409136	310582	400798	346291	7964457	273070	5252700	310811	344612	347577	253345	312649	820216	477087	443537	353513	447304	383554	8513961	695997
202	4385311	257192	292247	284109	213018	105583	186104	226465	377683	286142	368549	318842	7521585	253484	4866355	283538	317962	318533	234406	294415	768179	447411	409635	325973	411150	352949	8043014	645220
203	4056530	235769	270370	261088	194120	100222	175570	213130	349774	264083	339161	292515	7065224	237264	4501587	260047	294004	292490	213996	277542	721473	421376	379586	300889	378336	324175	7557623	603447
204	3755896	216638	249187	237745	178894	94667	164363	200846	325454	243487	312804	272307	6629547	222091	4171968	239058	270518	266696	197359	263188	678773	396260	353413	276992	349127	301269	7095947	563935
205	3510045	201449	231182	219676	166896	89054	155056	188313	304699	227027	290515	253388	6249324	207063	3897936	222572	251092	245699	184088	249197	639726	373386	330717	258808	324431	280515	6690504	528230
206	3296969	189871	216078	202947	156068	84841	147412	177613	288779	214654	273026	239238	5911537	195313	3660861	209407	234726	227460	171581	236381	607026	353637	313432	244235	304713	265059	6331061	497194
207	3121836	180467	203638	190076	147537	81048	139958	169618	275388	202132	257854	226555	5628506	183778	3468997	198775	221621	212455	162452	225831	576255	336233	298921	230373	287668	251128	6028423	468356
208	2968162	170660	192098	177136	140140	76844	132679	160712	263966	191700	244729	216609	5386452	171543	3296272	188122	208758	198081	154479	215032	547362	319210	286604	218447	273278	239971	5776088	439698
